iter	Passed	Remaining
378	1119	1834
379	1122	1832
380	1125	1829
381	1128	1826
382	1131	1822
383	1134	1819
384	1137	1816
385	1140	1813
386	1143	1810
387	1146	1807
388	1148	1804
389	1151	1801
390	1154	1798
391	1157	1795
392	1161	1793
393	1164	1791
394	1167	1788
395	1170	1786
396	1174	1783
397	1177	1781
398	1180	1778
399	1183	1775
400	1186	1772
401	1189	1769
402	1192	1766
403	1195	1763
404	1197	1759
405	1200	1756
406	1203	1753
407	1206	1750
408	1209	1747
409	1212	1744
410	1215	1741
411	1218	1738
412	1220	1735
413	1223	1732
414	1226	1728
415	1229	1725
416	1232	1722
417	1235	1719
418	1237	1716
419	1240	1713
420	1243	1710
421	1246	1707
422	1249	1704
423	1255	1705
424	1265	1711
425	1268	1709
426	1271	1705
427	1274	1702
428	1277	1699
429	1280	1696
430	1283	1693
431	1286	1690
432	1289	1688
433	1291	1684
434	1294	1681
435	1297	1678
436	1300	1675
437	1303	1672
438	1306	1669
439	1309	1666
440	1311	1663
441	1315	1660
442	1318	1657
443	1320	1654
444	1323	1650
445	1326	1647
446	1329	1644
447	1332	1641
448	1335	1638
449	1338	1635
450	1340	1632
451	1344	1629
452	1347	1627
453	1350	1624
454	1353	1621
455	1357	1619
456	1360	1616
457	1363	1613
458	1366	1610
459	1369	1607
460	1372	1604
461	1376	1602
462	1378	1599
463	1381	1596
464	1384	1593
465	1387	1590
466	1391	1587
467	1393	1584
468	1396	1581
469	1399	1578
470	1402	1575
471	1405	1572
472	1408	1568
473	1410	1565
474	1413	1562
475	1416	1559
476	1419	1556
477	1422	1553
478	1425	1550
479	1428	1547
480	1430	1544
481	1433	1540
482	1436	1537
483	1439	1534
484	1442	1532
485	1446	1529
486	1449	1526
487	1451	1523
488	1455	1520
489	1458	1517
490	1461	1514
491	1464	1512
492	1467	1509
493	1471	1506
494	1473	1503
495	1476	1500
496	1479	1497
497	1482	1494
498	1485	1491
499	1488	1488
500	1490	1484
501	1493	1481
502	1496	1478
503	1499	1475
504	1502	1472
505	1505	1469
506	1507	1466
507	1510	1463
508	1513	1460
509	1516	1456
510	1519	1453
511	1522	1450
512	1524	1447
513	1527	1444
514	1530	1441
515	1533	1438
516	1536	1435
517	1539	1432
518	1542	1429
519	1546	1427
520	1549	1424
521	1552	1421
522	1555	1418
523	1558	1415
524	1561	1412
525	1565	1410
526	1568	1407
527	1571	1404
528	1574	1401
529	1577	1398
530	1580	1395
531	1582	1392
532	1585	1389
533	1588	1386
534	1591	1383
535	1594	1380
536	1597	1376
537	1599	1373
538	1602	1370
539	1605	1367
540	1608	1364
541	1611	1361
542	1613	1358
543	1616	1355
544	1619	1352
545	1622	1348
546	1625	1346
547	1629	1344
548	1633	1341
549	1636	1338
550	1639	1336
551	1642	1333
552	1645	1330
553	1649	1327
554	1652	1324
555	1654	1321
556	1657	1318
557	1661	1315
558	1664	1313
559	1667	1310
560	1670	1306
561	1673	1303
562	1675	1300
563	1678	1297
564	1681	1294
565	1684	1291
566	1687	1288
567	1690	1285
568	1692	1282
569	1695	1279
570	1698	1276
571	1701	1273
572	1704	1270
573	1707	1267
574	1710	1264
575	1713	1260
576	1715	1257
577	1718	1254
578	1721	1251
579	1724	1248
580	1727	1246
581	1731	1243
582	1734	1240
583	1737	1237
584	1741	1235
585	1745	1232
586	1748	1230
587	1751	1227
588	1754	1224
589	1758	1221
590	1761	1219
591	1764	1216
592	1768	1213
593	1771	1210
594	1774	1207
595	1777	1204
596	1780	1201
597	1783	1199
598	1786	1196
599	1789	1193
600	1792	1190
601	1795	1187
602	1798	1184
603	1802	1181
604	1805	1178
605	1808	1176
606	1812	1173
607	1815	1170
608	1818	1167
609	1822	1165
610	1825	1162
611	1829	1159
612	1833	1157
613	1836	1154
614	1840	1152
615	1844	1149
616	1848	1147
617	1851	1144
618	1855	1142
619	1858	1139
620	1861	1136
621	1864	1133
622	1868	1130
623	1871	1127
624	1874	1124
625	1877	1121
626	1880	1118
627	1883	1115
628	1886	1112
629	1889	1109
630	1892	1106
631	1896	1104
632	1899	1101
633	1902	1098
634	1905	1095
635	1908	1092
636	1912	1089
637	1915	1086
638	1918	1083
639	1921	1081
640	1925	1078
641	1929	1075
642	1932	1073
643	1936	1070
644	1939	1067
645	1943	1064
646	1946	1062
647	1950	1059
648	1953	1056
649	1956	1053
650	1959	1050
651	1962	1047
652	1966	1044
653	1969	1041
654	1972	1038
655	1975	1035
656	1978	1033
657	1982	1030
658	1985	1027
659	1988	1024
660	1991	1021
661	1994	1018
662	1997	1015
663	2001	1012
664	2005	1010
665	2008	1007
666	2012	1004
667	2015	1001
668	2019	999
669	2022	996
670	2026	993
671	2029	990
672	2032	987
673	2035	984
674	2039	981
675	2042	979
676	2046	976
677	2049	973
678	2052	970
679	2055	967
680	2058	964
681	2061	961
682	2065	958
683	2068	955
684	2071	952
685	2074	949
686	2077	946
687	2081	943
688	2084	940
689	2087	937
690	2090	934
691	2093	931
692	2096	928
693	2100	926
694	2103	923
695	2106	920
696	2110	917
697	2113	914
698	2116	911
699	2119	908
700	2122	905
701	2126	902
702	2129	899
703	2133	897
704	2137	894
705	2140	891
706	2143	888
707	2146	885
708	2150	882
709	2153	879
710	2156	876
711	2159	873
712	2162	870
713	2166	867
714	2169	864
715	2172	861
716	2175	858
717	2178	855
718	2181	852
719	2185	849
720	2188	846
721	2191	843
722	2194	840
723	2197	837
724	2200	834
725	2203	831
726	2206	828
727	2210	825
728	2213	822
729	2217	820
730	2220	817
731	2223	814
732	2227	811
733	2231	808
734	2234	805
735	2238	802
736	2242	800
737	2245	797
738	2248	794
739	2252	791
740	2255	788
741	2258	785
742	2260	782
743	2263	778
744	2266	775
745	2269	772
746	2272	769
747	2275	766
748	2278	763
749	2281	760
750	2283	757
751	2286	754
752	2289	751
753	2292	747
754	2295	744
755	2298	741
756	2301	738
757	2304	735
758	2306	732
759	2310	729
760	2313	726
761	2316	723
762	2319	720
763	2322	717
764	2325	714
765	2328	711
766	2330	708
767	2334	705
768	2337	702
769	2340	699
770	2343	696
771	2346	693
772	2349	689
773	2352	686
774	2355	683
775	2357	680
776	2361	677
777	2364	674
778	2367	671
779	2370	668
780	2375	666
781	2378	663
782	2382	660
783	2385	657
784	2387	654
785	2390	650
786	2393	647
787	2396	644
788	2399	641
789	2402	638
790	2406	635
791	2409	632
792	2412	629
793	2415	626
794	2418	623
795	2421	620
796	2424	617
797	2427	614
798	2430	611
799	2433	608
800	2436	605
801	2438	602
802	2441	599
803	2444	595
804	2447	592
805	2450	589
806	2453	586
807	2455	583
808	2458	580
809	2461	577
810	2464	574
811	2467	571
812	2469	568
813	2472	565
814	2475	561
815	2478	558
816	2481	555
817	2483	552
818	2486	549
819	2489	546
820	2492	543
821	2495	540
822	2499	537
823	2502	534
824	2506	531
825	2509	528
826	2512	525
827	2516	522
828	2522	520
829	2525	517
830	2527	514
831	2530	511
832	2533	507
833	2536	504
834	2539	501
835	2542	498
836	2544	495
837	2547	492
838	2550	489
839	2553	486
840	2556	483
841	2559	480
842	2562	477
843	2565	474
844	2567	471
845	2571	468
846	2573	464
847	2576	461
848	2579	458
849	2582	455
850	2585	452
851	2588	449
852	2591	446
853	2594	443
854	2598	440
855	2601	437
856	2605	434
857	2608	431
858	2611	428
859	2614	425
860	2617	422
861	2620	419
862	2622	416
863	2625	413
864	2628	410
865	2631	407
866	2634	404
867	2636	401
868	2639	397
869	2642	394
870	2645	391
871	2648	388
872	2650	385
873	2653	382
874	2656	379
875	2659	376
876	2662	373
877	2664	370
878	2667	367
879	2670	364
880	2673	361
881	2676	358
882	2678	354
883	2682	352
884	2685	348
885	2688	345
886	2692	342
887	2695	339
888	2698	336
889	2701	333
890	2704	330
891	2707	327
892	2710	324
893	2713	321
894	2716	318
895	2718	315
896	2721	312
897	2724	309
898	2727	306
899	2730	303
900	2733	300
901	2735	297
902	2738	294
903	2741	291
904	2744	288
905	2747	285
906	2749	281
907	2752	278
908	2755	275
909	2759	272
910	2762	269
911	2766	266
912	2769	263
913	2772	260
914	2774	257
915	2777	254
916	2780	251
917	2783	248
918	2786	245
919	2790	242
920	2793	239
921	2796	236
922	2799	233
923	2802	230
924	2804	227
925	2807	224
926	2810	221
927	2813	218
928	2816	215
929	2819	212
930	2822	209
931	2824	206
932	2827	203
933	2830	200
934	2833	196
935	2836	193
936	2839	190
937	2842	187
938	2844	184
939	2847	181
940	2850	178
941	2853	175
942	2856	172
943	2859	169
944	2861	166
945	2864	163
946	2867	160
947	2870	157
948	2873	154
949	2876	151
950	2879	148
951	2882	145
952	2885	142
953	2889	139
954	2892	136
955	2895	133
956	2898	130
957	2901	127
958	2904	124
959	2907	121
960	2910	118
961	2912	115
962	2915	112
963	2918	108
964	2921	105
965	2924	102
966	2926	99
967	2929	96
968	2932	93
969	2935	90
970	2938	87
971	2941	84
972	2943	81
973	2946	78
974	2949	75
975	2952	72
976	2955	69
977	2958	66
978	2960	63
979	2963	60
980	2966	57
981	2969	54
982	2972	51
983	2975	48
984	2978	45
985	2981	42
986	2984	39
987	2988	36
988	2991	33
989	2994	30
990	2997	27
991	3000	24
992	3003	21
993	3006	18
994	3009	15
995	3011	12
996	3014	9
997	3017	6
998	3020	3
999	3023	0
