iter	Logloss
0	0.6832156372
1	0.6828256226
2	0.6817765808
3	0.6760148621
4	0.6711772156
5	0.6620313263
6	0.6588146973
7	0.6527288818
8	0.6505263519
9	0.6436471558
10	0.6376067352
11	0.6354138184
12	0.630164566
13	0.6279773331
14	0.6267652893
15	0.6206636047
16	0.6165128326
17	0.6130744171
18	0.611942215
19	0.605832901
20	0.6019744873
21	0.599305191
22	0.5980084229
23	0.5963796616
24	0.5941712189
25	0.590993042
26	0.5882777405
27	0.584176712
28	0.5825639343
29	0.5805664825
30	0.5782979584
31	0.5736641693
32	0.5726821899
33	0.5693415833
34	0.5684275055
35	0.5663918304
36	0.5634056091
37	0.5625845337
38	0.5570845032
39	0.5556224442
40	0.5541683197
41	0.552820816
42	0.5523878479
43	0.5484285736
44	0.5482714844
45	0.5459096527
46	0.5448155594
47	0.5428860474
48	0.540555191
49	0.5385977936
50	0.5370050049
51	0.5351876068
52	0.5328174591
53	0.5307810974
54	0.5284594727
55	0.5254139328
56	0.5219574738
57	0.521412735
58	0.5195084381
59	0.5178208923
60	0.5165603638
61	0.5141759491
62	0.512709465
63	0.5127062988
64	0.5110844421
65	0.5094939423
66	0.5078686142
67	0.5055645752
68	0.5040052795
69	0.5025542068
70	0.5002187729
71	0.4982025146
72	0.4969820786
73	0.4949485397
74	0.4939209747
75	0.4919953537
76	0.4913995361
77	0.4895969772
78	0.4887808228
79	0.4884544754
80	0.4862457275
81	0.4853173828
82	0.4830320358
83	0.4796435928
84	0.4791524124
85	0.4779592133
86	0.4757206726
87	0.4742664719
88	0.47372715
89	0.4726025391
90	0.471438179
91	0.4687298584
92	0.4674903107
93	0.4654540253
94	0.4618999481
95	0.4601811981
96	0.4592153168
97	0.4578985596
98	0.4575674438
99	0.4563439178
100	0.455458374
101	0.4544379425
102	0.4532139969
103	0.4513581848
104	0.4501985931
105	0.4487117004
106	0.4475323486
107	0.4447805405
108	0.4436054993
109	0.441632309
110	0.4401316833
111	0.4386264801
112	0.438393631
113	0.4369541168
114	0.4359407806
115	0.433899231
116	0.4333400726
117	0.4325828171
118	0.4315808868
119	0.4310063934
120	0.4304663086
121	0.4281275177
122	0.4272714996
123	0.4258783722
124	0.4247333527
125	0.42387043
126	0.4228141785
127	0.4215945435
128	0.4208681488
129	0.419956131
130	0.4196099091
131	0.4187763977
132	0.417215538
133	0.4158709717
134	0.4156898117
135	0.4139028168
136	0.4124542618
137	0.4116601944
